id,ra,dec,F115W,F115W_err,F150W,F150W_err,F200W,F200W_err,F277W,F277W_err,F356W,F356W_err,F444W,F444W_err,z_phot,z_l95,z_u95,z_best,P_z_gt_7,MUV,beta,beta_err,log_Mhalo,gamma_t,redder_beta
32344,53.04010238842219,-27.876677180753774,-0.20648612,-0.0697817,3.959908,1.0439401,2.9664924,0.6664112,2.8771315,1.2462285,1.5127695,0.9509935,1.0888749,0.5186644,9.92,8.93,11.109,9.92,1.0,-17.605310078474286,-2.093159683699709,1.486155320280736,13.042124031389715,14.000773220956697,-2.093159683699709
37925,53.13416940095466,-27.872299946886393,4.6784163,3.3810048,24.999601,11.534281,28.886421,13.820088,22.119385,9.015222,25.003946,8.432971,27.310858,18.265055,9.21,8.755,10.959,9.21,1.0,-19.495597052430657,-2.8129714414474583,1.9142629638663804,13.798238820972262,14206.393110751424,-2.8129714414474583
37968,53.039341205637555,-27.872248745242064,1.4456604,0.8956741,3.971537,2.1814432,4.3256636,1.8497657,3.285274,1.4508944,2.7972052,2.0867143,6.672169,4.407956,10.74,7.96,11.633,10.74,1.0,-17.725278205322844,-2.837941422252473,1.8723649831044966,13.090111282129138,20.055922005888757,-2.837941422252473
55320,53.123349240214935,-27.86036538358368,1.1886808,1.2890728,9.122906,4.130423,10.716647,4.453294,10.971176,3.3368664,8.742648,7.1718283,13.523028,7.1355963,10.6,8.641,12.104,10.6,1.0,-18.609005572609526,-1.92850595659879,1.5684658292430278,13.44360222904381,277.033464023683,-1.92850595659879
69282,53.07275702347448,-27.852097109735706,-0.47881776,-0.7683082,5.24543,2.7297108,4.9653482,2.233132,4.1902337,1.8661191,5.0617247,1.6898214,6.3479733,2.0375838,10.29,8.648,11.822,10.29,1.0,-17.964549518890173,-2.5169509795495166,1.9277777898281447,13.185819807556069,33.55965639468314,-2.5169509795495166
87674,53.16951568569152,-27.832045169797727,3.6970856,1.1650616,12.310593,4.3919,7.9620104,3.1129792,7.3821425,2.7546442,7.2106504,5.179529,13.407358,7.627633,9.02,8.166,10.482,9.02,1.0,-18.695288709695486,-2.230314665629217,1.6461459397326885,13.478115483878195,256.28898414524673,-2.230314665629217
87722,53.069394162758876,-27.831954955402797,9.009022,1.938754,19.708166,7.8052354,16.386536,7.4350834,13.329311,6.2316556,17.597134,7.522479,21.480637,7.500015,9.08,7.688,9.472,9.08,1.0,-19.216131117090832,-2.628937031288435,1.9843033077010275,13.686452446836332,2700.409607007024,-2.628937031288435
88357,53.132601301516196,-27.83101431283249,-1.1306727,2.0644398,12.935459,5.3250494,9.263534,4.2584314,11.779299,3.9882047,5.359585,2.0653594,12.89601,7.7657075,9.91,9.331,10.303,9.91,1.0,-18.889060956828438,-1.26822660397634,1.7389174419033877,13.555624382731375,737.2682787503911,-1.26822660397634
93282,53.170156694529666,-27.8245382194375,0.5733243,0.31763992,4.613933,1.5502063,3.9619367,1.9467865,3.713225,1.3272972,2.849043,1.713674,6.011937,2.733457,9.29,8.475,11.792,9.29,1.0,-17.673849749563182,-2.1974647603941806,1.8507180106551278,13.069539899825273,14.877286079737498,-2.1974647603941806
94193,53.14527890529581,-27.8235967466571,-2.1613119,-0.39955732,9.315656,4.644353,15.643016,7.6443634,13.645414,5.9604654,13.937089,5.1642537,12.768045,4.27579,11.19,9.377,12.11,11.19,1.0,-18.710793170091065,-2.1975980178949612,1.0494549107343163,13.484317268036426,484.3151369263147,-2.1975980178949612
95213,53.12513677657639,-27.822636310693994,1.0412081,0.013065287,3.465487,1.275377,9.556726,3.0703778,5.675261,3.735096,4.7901025,1.9599365,6.6319556,4.6444755,11.1,9.23,12.3,11.1,1.0,-17.625414872222372,-3.181938911252708,0.8902294725671817,13.05016594888895,16.798410800410792,-3.181938911252708
109791,53.133683893766154,-27.80370847790766,0.1162812,-0.11530587,1.776322,0.6004027,2.1865497,0.7504631,2.9866095,1.3347459,2.4103112,1.7673085,2.587404,2.2413795,11.6,8.366,13.098,11.6,1.0,-16.963798682350657,-1.0502830259151197,1.7162837215132707,12.785519472940262,5.356546084935093,-1.0502830259151197
114006,53.18448532273613,-27.796964315151055,-0.35274038,0.20539439,2.1583488,1.7088686,3.3344958,1.030964,3.5755427,1.7839127,5.2325583,2.3968122,11.587122,10.23277,9.18,8.022,12.607,9.18,1.0,-16.831195296323195,-1.7874182574363031,1.7877333939145288,12.732478118529277,3.819724014646536,-1.7874182574363031
127746,53.1806935793408,-27.777963405497918,0.47138304,1.3665212,9.696078,2.7493784,10.228923,5.068684,13.005746,6.429917,13.344031,6.3691826,17.487705,6.1889057,10.88,8.548,12.086,10.88,1.0,-18.713299862949317,-1.2684888652668236,2.1319739577944055,13.485319945179727,452.18376043620134,-1.2684888652668236
132619,53.2035308591895,-27.771769449537906,2.7213218,1.688737,11.475103,4.9232802,14.367457,5.3130145,12.804525,5.428673,11.888727,4.401789,15.624412,4.753225,9.02,8.41,11.418,9.02,1.0,-18.61898282393248,-2.3507736982655447,1.7134914277671662,13.447593129572992,193.08928405561767,-2.3507736982655447
137744,53.15677581700458,-27.767058459393045,5.8873587,3.0987191,13.664748,5.5061803,16.40652,5.428634,8.743547,3.1954014,14.587676,5.61466,18.14099,4.72221,9.06,8.166,9.313,9.06,1.0,-18.815219892739385,-3.9169012518420803,1.5015516046443265,13.526087957095754,416.1490878574444,-3.9169012518420803
141084,53.15784003810999,-27.76271155646387,2.0246606,1.8077517,4.714028,2.6100948,6.2990007,2.7461307,3.9504702,1.5690347,4.507827,3.5111442,5.5915985,3.5673163,9.06,7.525,11.036,9.06,1.0,-17.659696177160946,-3.4210284314356794,1.796269585260316,13.063878470864378,14.025068522458488,-3.4210284314356794
142364,53.15539282733057,-27.760919952803885,3.704795,2.5303059,8.958427,3.7709696,11.3406105,4.6690345,9.809435,4.553585,8.097043,3.67345,8.801891,3.6290677,9.0,8.298,10.747,9.0,1.0,-18.346845944594648,-1.851186507747127,1.0275754739387495,13.33873837783786,77.51309001337282,-1.851186507747127
191483,53.077515508490656,-27.835752672370045,5.074035,2.3032572,14.066229,6.0987315,16.159058,6.5442896,13.22862,5.3455963,14.294946,5.1287465,17.413826,11.011109,9.08,8.259,11.298,9.08,1.0,-18.849959779710176,-2.6094549264818,1.7425217548442404,13.53998391188407,483.4894960464223,-2.6094549264818
194969,53.139892277269645,-27.824201670660546,3.9011183,1.5952066,9.8686,4.076518,10.701334,4.6737375,8.818162,3.4914155,12.070474,3.5836365,12.825414,4.048344,9.03,8.587,9.268,9.03,1.0,-18.45688941907519,-2.5895259236282038,1.7954845901321541,13.382755767630076,110.63993566804716,-2.5895259236282038
232033,53.162400311204394,-27.761685551466144,-0.3449367,0.22960465,2.9638326,1.1079993,2.6435275,0.96582925,1.6929859,0.5353681,2.3595798,1.4713356,3.0148091,2.4157274,9.63,8.008,11.626,9.63,1.0,-17.24678499593145,-3.357262078799189,1.4717292053480218,12.89871399837258,7.093132502271596,-3.357262078799189
270272,53.123031087756516,-27.850938590549504,-0.5821916,-1.0045784,6.9549694,1.7987797,5.5262327,1.1765711,4.985031,1.5106426,5.364096,1.5234338,4.3007574,2.495291,9.13,7.981,11.069,9.13,1.0,-18.093466988111267,-2.313918531870911,1.1280079036023765,13.237386795244507,38.67034056317027,-2.313918531870911
284476,53.14276706497384,-27.840337038273297,1.8412191,0.79231685,18.757038,7.562297,17.893614,8.519363,14.702982,5.573997,12.571382,8.962769,14.9681015,9.818551,9.18,8.603,10.876,9.18,1.0,-19.178801873857825,-2.5981716762154177,1.8536881633252091,13.67152074954313,2311.6426991097046,-2.5981716762154177
290327,53.03982785775404,-27.85733038492267,1.815263,0.43634713,6.048751,2.011533,5.35273,1.298601,2.5754898,0.8183155,2.944204,2.247125,2.9700701,2.3908098,9.86,7.005,10.999,9.86,1.0,-18.056289884540423,-4.228192470815905,1.2175924385600136,13.222515953816169,39.80676719355683,-4.228192470815905
294402,53.073421055146945,-27.885007666525567,-3.4057076,-0.9446211,6.5073066,1.0546758,3.6191711,0.21609358,3.211699,1.0861092,2.7080112,1.2949505,1.5269315,1.4475083,9.86,9.037,11.064,9.86,1.0,-18.135628809096684,-2.36380311472903,1.045931327431014,13.254251523638674,49.4617830904211,-2.36380311472903
294816,53.13354793447097,-27.844984440575747,3.3049726,1.3932556,17.738892,7.6181164,15.131923,6.897606,13.293147,5.3569193,17.018763,6.8143377,26.544645,20.41647,9.04,8.431,11.154,9.04,1.0,-19.09522393157121,-2.394605106087663,1.8531216422434922,13.638089572628484,1444.3782303376743,-2.394605106087663
296867,53.104733619824586,-27.827818171369564,-3.0871086,-1.3489329,8.418925,2.2992268,1.0819923,0.16400853,8.825504,3.567769,3.9732964,1.12955,1.3647429,0.578014,10.24,8.647,11.233,10.24,1.0,-18.471070944021438,4.3926114185635186,1.314987336394709,13.388428377608575,153.17429852902944,4.3926114185635186
297474,53.136978282025446,-27.777528654266508,11.917752,8.1381645,61.756397,21.75221,84.3172,23.800394,84.51881,19.827381,48.404293,13.492658,25.210659,9.903454,10.62,8.961,11.402,10.62,1.0,-20.688139147831166,-1.9927260749611273,1.1178913159236212,14.0,1402144.4438235073,-1.9927260749611273
