file,srcid,grating,filter,dataset,root,objid,grade,valid,sn_line,z,log_Mstar,line_ha,line_hb,line_ha_nii,snr_oiii_5007,snr_hb,snr_ha,has_balmer,best_line_snr,best_line,resolution_rank,gamma_t_mass_proxy,public_url,local_path,spectrum_fetch_status,log_balmer,fit_status,line,sigma_kms,sigma_kms_err,amplitude_snr,median_R,sigma_inst_kms,resolution_source,line_center_um,reduced_chi2,n_window_points,quality_screen_pass,quality_screen_reason,sigma_frac_err
jades-gdn198-v4_g395h-f290lp_1181_68797.spec.fits,68797,G395H,F290LP,jw01181198001_03101_00001_nrs2_f290lp_g395h_raw.34.1181_68797.fits,jades-gdn198-v4,157303,3.0,1.0,100.5,5.039798983333333,10.839484730358764,5727.379,553.57166,,75.43051088176624,19.268592768317664,100.48263385679269,True,100.48263385679269,ha,2,2.7362937210389537,https://s3.amazonaws.com/msaexp-nirspec/extractions/jades-gdn198-v4/jades-gdn198-v4_g395h-f290lp_1181_68797.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/jades-gdn198-v4/jades-gdn198-v4_g395h-f290lp_1181_68797.spec.fits,local_existing,1.0147820744048317,success,ha,144.79031907740696,11.190348408983082,15.21040054535265,2700.0,47.151901878643855,grating_fallback_G395H,3.966416352786102,17.511508403303775,47,True,pass,0.0772865788285235
glimpse-obs02-v4_g395m-f290lp_9223_41948.spec.fits,41948,G395M,F290LP,jw09223001002_03101_00001_nrs2_f290lp_g395m_raw.54.9223_41948.fits,glimpse-obs02-v4,160442,3.0,1.0,98.6,6.105502333333334,8.922545924373484,4656.5244,1195.1823,,93.2755585166787,65.44099682919658,98.56534150441695,True,98.56534150441695,ha,1,0.6189708964589764,https://s3.amazonaws.com/msaexp-nirspec/extractions/glimpse-obs02-v4/glimpse-obs02-v4_g395m-f290lp_9223_41948.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/glimpse-obs02-v4/glimpse-obs02-v4_g395m-f290lp_9223_41948.spec.fits,local_existing,0.5906277301286551,success,ha,5.0000000000001,135.8594072687826,17.334580023795993,1000.0,127.3101350723384,grating_fallback_G395M,4.664343996806628,290.09967991088376,17,False,screened_out,27.171881453755976
bluejay-south-v4_g235m-f170lp_1810_11247.spec.fits,11247,G235M,F170LP,jw01810002001_07101_00001_nrs1_f170lp_g235m_raw.30.1810_11247.fits,bluejay-south-v4,173791,3.0,1.0,96.8,5.733410800000001,9.12634302633561,,571.9377,,96.80461381518582,35.445064669809675,,False,96.80461381518582,oiii_5007,1,0.6433814659094995,https://s3.amazonaws.com/msaexp-nirspec/extractions/bluejay-south-v4/bluejay-south-v4_g235m-f170lp_1810_11247.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/bluejay-south-v4/bluejay-south-v4_g235m-f170lp_1810_11247.spec.fits,local_existing,,success,oiii_5007,62.82379848666623,10.604877664013722,27.770400698262513,1000.0,127.3101350723384,grating_fallback_G235M,3.372297250166478,13.616358977757706,24,True,pass,0.16880350948955292
gds-udeep-v4_g395m-f290lp_3215_201249.spec.fits,201249,G395M,F290LP,jw03215001003_03101_00001_nrs1_f290lp_g395m_raw.93.3215_201249.fits,gds-udeep-v4,173321,3.0,1.0,94.7,5.028248,9.72122058317233,1214.157,371.1224,,91.96448096552528,53.985484003528995,94.73947866472062,True,94.73947866472062,ha,1,0.7643537744563925,https://s3.amazonaws.com/msaexp-nirspec/extractions/gds-udeep-v4/gds-udeep-v4_g395m-f290lp_3215_201249.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/gds-udeep-v4/gds-udeep-v4_g395m-f290lp_3215_201249.spec.fits,local_existing,0.5147576799995431,success,ha,22.578292029798927,19.236289782130953,34.1332772696451,1000.0,127.3101350723384,grating_fallback_G395M,3.957388732847483,45.652759492231326,18,True,pass,0.8519816183058849
smacs0723-ero-v4_g395m-f290lp_2736_6355.spec.fits,6355,G395M,F290LP,jw02736007001_03103_00001_nrs2_f290lp_g395m_raw.72.2736_6355.fits,smacs0723-ero-v4,173929,3.0,1.0,94.7,7.6650023,9.363502206159305,,511.06787,,94.72086189526696,40.82689037150972,,False,94.72086189526696,oiii_5007,1,0.6230378920128701,https://s3.amazonaws.com/msaexp-nirspec/extractions/smacs0723-ero-v4/smacs0723-ero-v4_g395m-f290lp_2736_6355.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/smacs0723-ero-v4/smacs0723-ero-v4_g395m-f290lp_2736_6355.spec.fits,local_existing,,success,oiii_5007,60.243680486729964,5.907954129255327,48.212585460004895,1000.0,127.3101350723384,grating_fallback_G395M,4.3396015499918565,10.191786564204774,14,True,pass,0.09806761608060595
bluejay-north-v4_g235m-f170lp_1810_19945.spec.fits,19945,G235M,F170LP,jw01810001001_07101_00002_nrs1_f170lp_g235m_raw.33.1810_19945.fits,bluejay-north-v4,173875,3.0,1.0,91.7,6.9897831,9.580808903140255,,488.0991,,91.73869957756295,31.718826285591227,,False,91.73869957756295,oiii_5007,1,0.6746714141947954,https://s3.amazonaws.com/msaexp-nirspec/extractions/bluejay-north-v4/bluejay-north-v4_g235m-f170lp_1810_19945.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/bluejay-north-v4/bluejay-north-v4_g235m-f170lp_1810_19945.spec.fits,local_existing,,success,oiii_5007,53.82586557285357,9.928659796376074,37.80392987677598,1000.0,127.3101350723384,grating_fallback_G235M,4.002047542456873,5.275209958750157,24,True,pass,0.18445889705085344
gdn-fujimoto-v4_g395m-f290lp_4762_43649.spec.fits,43649,G395M,F290LP,jw04762006001_05101_00001_nrs1_f290lp_g395m_raw.264.4762_43649.fits,gdn-fujimoto-v4,171722,3.0,1.0,90.3,6.780659249999999,9.118546908491501,1491.4138,485.3073,,90.30335061398777,35.13000875594878,54.767677982840695,True,90.30335061398777,oiii_5007,1,0.6174967905223626,https://s3.amazonaws.com/msaexp-nirspec/extractions/gdn-fujimoto-v4/gdn-fujimoto-v4_g395m-f290lp_4762_43649.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/gdn-fujimoto-v4/gdn-fujimoto-v4_g395m-f290lp_4762_43649.spec.fits,local_existing,0.48758133325614467,success,oiii_5007,94.62291440914954,10.828050441736323,21.28572190373505,1000.0,127.3101350723384,grating_fallback_G395M,3.8968197667305313,24.968778109351444,14,True,pass,0.11443370254815685
jades-gdn09-v4_g395h-f290lp_1181_78773.spec.fits,78773,G395H,F290LP,jw01181009001_23101_00001_nrs1_f290lp_g395h_raw.756.1181_78773.fits,jades-gdn09-v4,172606,3.0,1.0,88.8,5.187854475,10.048498739302905,2834.259,834.6106,,88.84442550560195,27.47489770701419,80.6506197223169,True,88.84442550560195,oiii_5007,2,0.8984481589213503,https://s3.amazonaws.com/msaexp-nirspec/extractions/jades-gdn09-v4/jades-gdn09-v4_g395h-f290lp_1181_78773.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/jades-gdn09-v4/jades-gdn09-v4_g395h-f290lp_1181_78773.spec.fits,local_existing,0.5309556382016081,success,oiii_5007,129.91389982917553,3.8575654385518305,33.14753269842766,2700.0,47.151901878643855,grating_fallback_G395H,3.0989750592772247,7.3773356269155475,38,True,pass,0.029693246401071505
jades-gdn10-v4_g395h-f290lp_1181_78891.spec.fits,78891,G395H,F290LP,jw01181010001_21101_00001_nrs1_f290lp_g395h_raw.563.1181_78891.fits,jades-gdn10-v4,149593,3.0,1.0,88.6,6.548637133333333,9.538311929299063,,319.91534,,88.58154921339317,30.112246747816805,,False,88.58154921339317,oiii_5007,2,0.6777776154225313,https://s3.amazonaws.com/msaexp-nirspec/extractions/jades-gdn10-v4/jades-gdn10-v4_g395h-f290lp_1181_78891.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/jades-gdn10-v4/jades-gdn10-v4_g395h-f290lp_1181_78891.spec.fits,local_existing,,success,oiii_5007,63.72654253077383,2.025889542021208,40.808717850519365,2700.0,47.151901878643855,grating_fallback_G395H,3.780434785477519,5.1549998422511845,38,True,pass,0.03179035707206141
excels-uds03-v4_g235m-f170lp_3543_70864.spec.fits,70864,G235M,F170LP,jw03543003001_05101_00002_nrs1_f170lp_g235m_raw.104.3543_70864.fits,excels-uds03-v4,170504,3.0,1.0,88.0,5.253566666666667,9.125911913114642,1096.167,398.85245,,88.00724302218885,33.435376901187894,57.57550354870539,True,88.00724302218885,oiii_5007,1,0.6556960636230755,https://s3.amazonaws.com/msaexp-nirspec/extractions/excels-uds03-v4/excels-uds03-v4_g235m-f170lp_3543_70864.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/excels-uds03-v4/excels-uds03-v4_g235m-f170lp_3543_70864.spec.fits,local_existing,0.43906445943774486,success,oiii_5007,5.000000000000004,95.48190593538283,35.26336607819137,1000.0,127.3101350723384,grating_fallback_G235M,3.1321178268859,7.79874767910838,24,False,screened_out,19.09638118707655
macs0416-nakajima-v4_g395m-f290lp_4750_30102.spec.fits,30102,G395M,F290LP,jw04750004001_07101_00001_nrs1_f290lp_g395m_raw.82.4750_30102.fits,macs0416-nakajima-v4,173435,3.0,1.0,87.3,8.312521,9.207673853041586,,502.91458,,87.31989362757415,46.632668181048565,,False,87.31989362757415,oiii_5007,1,0.5919003695948946,https://s3.amazonaws.com/msaexp-nirspec/extractions/macs0416-nakajima-v4/macs0416-nakajima-v4_g395m-f290lp_4750_30102.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/macs0416-nakajima-v4/macs0416-nakajima-v4_g395m-f290lp_4750_30102.spec.fits,local_existing,,success,oiii_5007,5.000000000000001,229.15231186730134,12.029144445623938,1000.0,127.3101350723384,grating_fallback_G395M,4.663915322928279,194.46083483958637,14,False,screened_out,45.83046237346026
excels-uds01-v4_g235m-f170lp_3543_122434.spec.fits,122434,G235M,F170LP,jw03543001001_05101_00002_nrs1_f170lp_g235m_raw.91.3543_122434.fits,excels-uds01-v4,147830,3.0,1.0,86.2,6.3761,8.643257966677744,,356.7824,,86.21031380748903,29.701126001255364,,False,86.21031380748903,oiii_5007,1,0.5992181393962753,https://s3.amazonaws.com/msaexp-nirspec/extractions/excels-uds01-v4/excels-uds01-v4_g235m-f170lp_3543_122434.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/excels-uds01-v4/excels-uds01-v4_g235m-f170lp_3543_122434.spec.fits,local_existing,,success,oiii_5007,19.776990125679713,28.891422705660716,30.602840175223548,1000.0,127.3101350723384,grating_fallback_G235M,3.6937641924487066,6.752201746164049,24,False,screened_out,1.460860450556945
rubies-egs52-v4_g395m-f290lp_4233_8488.spec.fits,8488,G395M,F290LP,jw04233005002_05101_00002_nrs1_f290lp_g395m_raw.162.4233_8488.fits,rubies-egs52-v4,173607,3.0,1.0,85.2,8.679457333333332,9.31705881937789,,875.0342,,85.16190462504973,31.514114422088667,,False,85.16190462504973,oiii_5007,1,0.5952947411346821,https://s3.amazonaws.com/msaexp-nirspec/extractions/rubies-egs52-v4/rubies-egs52-v4_g395m-f290lp_4233_8488.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/rubies-egs52-v4/rubies-egs52-v4_g395m-f290lp_4233_8488.spec.fits,local_existing,,success,oiii_5007,88.73620969136424,5.723674128693823,39.278899368874875,1000.0,127.3101350723384,grating_fallback_G395M,4.84679776598394,5.041274275867529,14,True,pass,0.06450212544125432
gds-udeep-v4_g395m-f290lp_3215_202208.spec.fits,202208,G395M,F290LP,jw03215001004_03101_00001_nrs1_f290lp_g395m_raw.49.3215_202208.fits,gds-udeep-v4,151846,3.0,1.0,84.6,5.447481,8.833941166151686,0.0,200.9777,,84.62823616595847,62.930144735979376,,False,84.62823616595847,oiii_5007,1,0.6298641004958336,https://s3.amazonaws.com/msaexp-nirspec/extractions/gds-udeep-v4/gds-udeep-v4_g395m-f290lp_3215_202208.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/gds-udeep-v4/gds-udeep-v4_g395m-f290lp_3215_202208.spec.fits,local_existing,,success,oiii_5007,5.000000000000001,61.54889772869717,39.690529140114315,1000.0,127.3101350723384,grating_fallback_G395M,3.229199999163297,68.62576419805549,14,False,screened_out,12.309779545739431
valentino-obs19-v4_g235m-f170lp_3567_26315.spec.fits,26315,G235M,F170LP,jw03567019001_03101_00002_nrs2_f170lp_g235m_raw.54.3567_26315.fits,valentino-obs19-v4,150351,3.0,1.0,83.0,5.3109922,8.742538389339458,2421.8286,666.9173,,82.9817109808695,50.77338906968419,74.51374494373691,True,82.9817109808695,oiii_5007,1,0.6287114491424524,https://s3.amazonaws.com/msaexp-nirspec/extractions/valentino-obs19-v4/valentino-obs19-v4_g235m-f170lp_3567_26315.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/valentino-obs19-v4/valentino-obs19-v4_g235m-f170lp_3567_26315.spec.fits,local_existing,0.5600714203135686,success,oiii_5007,5.000000000065663,264.15286725403416,8.59168837303418,1000.0,127.3101350723384,grating_fallback_G235M,3.1607229218299255,238.4475882924243,24,False,screened_out,52.83057345011303
glimpse-obs02-v4_g395m-f290lp_9223_55241.spec.fits,55241,G395M,F290LP,jw09223001002_03101_00001_nrs2_f290lp_g395m_raw.18.9223_55241.fits,glimpse-obs02-v4,176918,3.0,1.0,81.8,5.50025,8.81202212242987,738.5066,318.5493,,81.8114506870196,47.0685111278893,69.18585881789078,True,81.8114506870196,oiii_5007,1,0.6273843417826054,https://s3.amazonaws.com/msaexp-nirspec/extractions/glimpse-obs02-v4/glimpse-obs02-v4_g395m-f290lp_9223_55241.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/glimpse-obs02-v4/glimpse-obs02-v4_g395m-f290lp_9223_55241.spec.fits,local_existing,0.3651777258619422,success,oiii_5007,39.85504343215329,15.990418213673232,21.800561443325034,1000.0,127.3101350723384,grating_fallback_G395M,3.2552390719974595,52.865090759212066,14,False,screened_out,0.4012144219813563
aurora-gdn02-v4_g395m-f290lp_1914_100067.spec.fits,100067,G395M,F290LP,jw01914002001_11101_00001_nrs1_f290lp_g395m_raw.49.1914_100067.fits,aurora-gdn02-v4,160385,3.0,1.0,81.3,5.188221633333334,9.217413242874589,1665.6675,562.60175,,81.33663632370768,41.85167651298808,78.00951081738627,True,81.33663632370768,oiii_5007,1,0.6666373380863247,https://s3.amazonaws.com/msaexp-nirspec/extractions/aurora-gdn02-v4/aurora-gdn02-v4_g395m-f290lp_1914_100067.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/aurora-gdn02-v4/aurora-gdn02-v4_g395m-f290lp_1914_100067.spec.fits,local_existing,0.47138723327516796,success,oiii_5007,42.84060971022109,6.437366892785096,52.071085665752925,1000.0,127.3101350723384,grating_fallback_G395M,3.0991520254586353,7.726227021924964,14,True,pass,0.15026319504620037
jades-gds-wide2-v4_g395m-f290lp_1180_9924.spec.fits,9924,G395M,F290LP,jw01180135001_0310f_00001_nrs1_f290lp_g395m_raw.620.1180_9924.fits,jades-gds-wide2-v4,172082,3.0,1.0,80.7,5.52180586,9.191301874656187,265.0818,78.827225,,80.6835111568831,23.364959194061637,50.926564979832676,True,80.6835111568831,oiii_5007,1,0.6550682434570297,https://s3.amazonaws.com/msaexp-nirspec/extractions/jades-gds-wide2-v4/jades-gds-wide2-v4_g395m-f290lp_1180_9924.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/jades-gds-wide2-v4/jades-gds-wide2-v4_g395m-f290lp_1180_9924.spec.fits,local_existing,0.5267036728292331,success,oiii_5007,70.29045637289626,7.247057286177829,42.856386517583225,1000.0,127.3101350723384,grating_fallback_G395M,3.2662080781996874,1.0726683384065998,14,True,pass,0.10310158249267347
macs1149-stiavelli-v4_g395m-f290lp_1199_3.spec.fits,3,G395M,F290LP,jw01199023001_03101_00001_nrs1_f290lp_g395m_raw.138.1199_3.fits,macs1149-stiavelli-v4,173166,3.0,1.0,79.7,9.110503,9.166021466563807,,262.87628,,79.72712096121876,34.86014106568938,,False,79.72712096121876,oiii_5007,1,0.5721901297911253,https://s3.amazonaws.com/msaexp-nirspec/extractions/macs1149-stiavelli-v4/macs1149-stiavelli-v4_g395m-f290lp_1199_3.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/macs1149-stiavelli-v4/macs1149-stiavelli-v4_g395m-f290lp_1199_3.spec.fits,local_existing,,success,oiii_5007,5.000000000000001,285.0128824075832,11.41788370256788,1000.0,127.3101350723384,grating_fallback_G395M,5.064148501731064,72.70005241537145,14,False,screened_out,57.002576481516634
jades-gds08-v4_g395h-f290lp_1286_30148179.spec.fits,30148179,G395H,F290LP,jw01286008001_17101_00001_nrs1_f290lp_g395h_raw.441.1286_30148179.fits,jades-gds08-v4,172440,3.0,1.0,79.5,5.922328116666667,9.360542905425595,,217.72997,,79.52619543926185,25.555592723632888,,False,79.52619543926185,oiii_5007,2,0.6650150501172426,https://s3.amazonaws.com/msaexp-nirspec/extractions/jades-gds08-v4/jades-gds08-v4_g395h-f290lp_1286_30148179.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/jades-gds08-v4/jades-gds08-v4_g395h-f290lp_1286_30148179.spec.fits,local_existing,,success,oiii_5007,84.12328832809396,1.4508564442845988,65.21207116340612,2700.0,47.151901878643855,grating_fallback_G395H,3.466168511639639,1.2755080382490611,37,True,pass,0.017246787104018474
macs1149-stiavelli-v4_g395m-f290lp_1199_60001.spec.fits,60001,G395M,F290LP,jw01199021001_03101_00001_nrs1_f290lp_g395m_raw.126.1199_60001.fits,macs1149-stiavelli-v4,151402,3.0,1.0,78.2,5.685190000000001,9.874948302722457,1146.5981,410.18533,,78.15604184675031,36.80219066100696,68.2115098100759,True,78.15604184675031,oiii_5007,1,0.796715324334486,https://s3.amazonaws.com/msaexp-nirspec/extractions/macs1149-stiavelli-v4/macs1149-stiavelli-v4_g395m-f290lp_1199_60001.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/macs1149-stiavelli-v4/macs1149-stiavelli-v4_g395m-f290lp_1199_60001.spec.fits,local_existing,0.44643109371773076,success,oiii_5007,35.38185299566236,7.949595056581861,58.077583904192934,1000.0,127.3101350723384,grating_fallback_G395M,3.34792221702259,3.06603386127286,14,True,pass,0.22468000920009593
glimpse-obs01b-v4_g395m-f290lp_9223_47397.spec.fits,47397,G395M,F290LP,jw09223001001_11101_00001_nrs1_f290lp_g395m_raw.209.9223_47397.fits,glimpse-obs01b-v4,179748,3.0,1.0,78.1,5.534804133333334,8.45402776577836,0.0,206.69116,,78.12924103856159,36.177871113403654,,False,78.12924103856159,oiii_5007,1,0.6127332277093774,https://s3.amazonaws.com/msaexp-nirspec/extractions/glimpse-obs01b-v4/glimpse-obs01b-v4_g395m-f290lp_9223_47397.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/glimpse-obs01b-v4/glimpse-obs01b-v4_g395m-f290lp_9223_47397.spec.fits,local_existing,,success,oiii_5007,5.000667460939967,54.770922570371596,51.16218801255521,1000.0,127.3101350723384,grating_fallback_G395M,3.272706356514853,6.9706477528213915,14,False,screened_out,10.952722411195165
glimpse-obs01b-v4_g395m-f290lp_9223_14499.spec.fits,14499,G395M,F290LP,jw09223001001_11101_00001_nrs1_f290lp_g395m_raw.215.9223_14499.fits,glimpse-obs01b-v4,179776,3.0,1.0,77.3,6.107724118762471,9.321206283197894,0.0,230.39664,,77.27950842068199,31.04598605524406,,False,77.27950842068199,oiii_5007,1,0.6550184944947727,https://s3.amazonaws.com/msaexp-nirspec/extractions/glimpse-obs01b-v4/glimpse-obs01b-v4_g395m-f290lp_9223_14499.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/glimpse-obs01b-v4/glimpse-obs01b-v4_g395m-f290lp_9223_14499.spec.fits,local_existing,,success,oiii_5007,42.02553685643923,16.50215682867196,22.67058982586897,1000.0,127.3101350723384,grating_fallback_G395M,3.5587229913545464,25.286880203909217,15,True,pass,0.3926697447088881
gds-deep-v4_g395h-f290lp_1210_13176.spec.fits,13176,G395H,F290LP,jw01210001002_15101_00001_nrs1_f290lp_g395h_raw.264.1210_13176.fits,gds-deep-v4,172284,3.0,1.0,77.0,5.934363349999999,7.808119454930873,,211.94283,,77.01647418244389,45.58217830738388,,False,77.01647418244389,oiii_5007,2,0.5926227499866842,https://s3.amazonaws.com/msaexp-nirspec/extractions/gds-deep-v4/gds-deep-v4_g395h-f290lp_1210_13176.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/gds-deep-v4/gds-deep-v4_g395h-f290lp_1210_13176.spec.fits,local_existing,,success,oiii_5007,55.29977244840648,2.2460021885122248,38.50753226492197,2700.0,47.151901878643855,grating_fallback_G395H,3.473386610895784,6.873485682453205,24,True,pass,0.04061503491009294
